game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,home_team_win_prob,away_team_win_prob,predicted_winner
2024_03_NE_NYJ,2024,REG,3,2024-09-19,Thursday,20:15,NE,,NYJ,,Home,,,,2024091900,59540,,202409190nyj,,401671808,6481.0,4,4,225.0,-278.0,6.0,-108.0,-112.0,38.5,-110.0,-110.0,1,outdoors,fieldturf,,,00-0033119,00-0023459,Jacoby Brissett,Aaron Rodgers,Jerod Mayo,Robert Saleh,,NYC01,MetLife Stadium,0,0,2,1,0,0.12357790152944152,0.8764220984705585,0
2024_03_NYG_CLE,2024,REG,3,2024-09-22,Sunday,13:00,NYG,,CLE,,Home,,,,2024092200,59541,,202409220cle,,401671855,6482.0,7,7,240.0,-298.0,6.5,-108.0,-112.0,38.5,-108.0,-112.0,0,outdoors,grass,,,00-0035710,00-0033537,Daniel Jones,Deshaun Watson,Brian Daboll,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,0,1,2,1,0.21327708439726004,0.78672291560274,0
2024_03_CHI_IND,2024,REG,3,2024-09-22,Sunday,13:00,CHI,,IND,,Home,,,,2024092201,59542,,202409220clt,,401671865,6483.0,7,7,102.0,-122.0,1.5,-110.0,-110.0,43.5,-112.0,-108.0,0,closed,fieldturf,,,00-0039918,00-0039164,Caleb Williams,Anthony Richardson,Matt Eberflus,Shane Steichen,,IND00,Lucas Oil Stadium,0,0,1,2,1,0.21327708439726004,0.78672291560274,0
2024_03_HOU_MIN,2024,REG,3,2024-09-22,Sunday,13:00,HOU,,MIN,,Home,,,,2024092202,59543,,202409220min,,401671646,6484.0,7,7,-135.0,114.0,-2.0,-110.0,-110.0,46.0,-108.0,-112.0,0,dome,sportturf,,,00-0039163,00-0034869,C.J. Stroud,Sam Darnold,DeMeco Ryans,Kevin O'Connell,,MIN01,U.S. Bank Stadium,0,1,2,1,0,0.22091882691627795,0.779081173083722,0
2024_03_PHI_NO,2024,REG,3,2024-09-22,Sunday,13:00,PHI,,NO,,Home,,,,2024092203,59544,,202409220nor,,401671736,6485.0,6,7,124.0,-148.0,2.5,-102.0,-118.0,49.5,-110.0,-110.0,0,dome,sportturf,,,00-0036389,00-0031280,Jalen Hurts,Derek Carr,Nick Sirianni,Dennis Allen,,NOR00,Mercedes-Benz Superdome,0,1,1,1,0,0.38287126594892773,0.6171287340510723,0
2024_03_LAC_PIT,2024,REG,3,2024-09-22,Sunday,13:00,LAC,,PIT,,Home,,,,2024092204,59545,,202409220pit,,401671632,6486.0,7,7,100.0,-120.0,1.5,-112.0,-108.0,36.0,-112.0,-108.0,0,outdoors,grass,,,00-0036355,00-0029263,Justin Herbert,Russell Wilson,Jim Harbaugh,Mike Tomlin,,PIT00,Acrisure Stadium,0,0,2,1,0,0.12357790152944152,0.8764220984705585,0
2024_03_DEN_TB,2024,REG,3,2024-09-22,Sunday,13:00,DEN,,TB,,Home,,,,2024092205,59546,,202409220tam,,401671741,6487.0,7,7,235.0,-290.0,6.5,-108.0,-112.0,40.0,-110.0,-110.0,0,outdoors,grass,,,00-0039732,00-0034855,Bo Nix,Baker Mayfield,Sean Payton,Todd Bowles,,TAM00,Raymond James Stadium,0,1,1,1,1,0.5112508529934684,0.4887491470065316,1
2024_03_GB_TEN,2024,REG,3,2024-09-22,Sunday,13:00,GB,,TEN,,Home,,,,2024092206,59547,,202409220oti,,401671823,6488.0,7,7,105.0,-125.0,2.0,-110.0,-110.0,38.0,-110.0,-110.0,0,outdoors,grass,,,00-0038128,00-0039152,Malik Willis,Will Levis,Matt LaFleur,Brian Callahan,,NAS00,Nissan Stadium,0,0,1,2,1,0.21327708439726004,0.78672291560274,0
2024_03_CAR_LV,2024,REG,3,2024-09-22,Sunday,16:05,CAR,,LV,,Home,,,,2024092207,59548,,202409220rai,,401671658,6489.0,7,7,190.0,-230.0,5.0,-112.0,-108.0,40.0,-110.0,-110.0,0,dome,grass,,,00-0027973,00-0035289,Andy Dalton,Gardner Minshew,Dave Canales,Antonio Pierce,,VEG00,Allegiant Stadium,0,0,1,1,1,0.3421685780853925,0.6578314219146075,0
2024_03_MIA_SEA,2024,REG,3,2024-09-22,Sunday,16:05,MIA,,SEA,,Home,,,,2024092208,59549,,202409220sea,,401671662,6490.0,10,7,164.0,-198.0,4.5,-112.0,-108.0,41.5,-112.0,-108.0,0,outdoors,fieldturf,,,00-0037327,00-0030565,Skylar Thompson,Geno Smith,Mike McDaniel,Mike Macdonald,,SEA00,Lumen Field,0,1,1,1,0,0.38287126594892773,0.6171287340510723,0
2024_03_DET_ARI,2024,REG,3,2024-09-22,Sunday,16:25,DET,,ARI,,Home,,,,2024092209,59550,,202409220crd,,401671771,6491.0,7,7,-155.0,130.0,-3.0,-105.0,-115.0,51.5,-110.0,-110.0,0,closed,grass,,,00-0033106,00-0035228,Jared Goff,Kyler Murray,Dan Campbell,Jonathan Gannon,,PHO00,State Farm Stadium,0,1,1,1,0,0.38287126594892773,0.6171287340510723,0
2024_03_BAL_DAL,2024,REG,3,2024-09-22,Sunday,16:25,BAL,,DAL,,Home,,,,2024092210,59551,,202409220dal,,401671763,6492.0,7,7,-118.0,-102.0,-1.0,-112.0,-108.0,48.5,-112.0,-108.0,0,closed,matrixturf,,,00-0034796,00-0033077,Lamar Jackson,Dak Prescott,John Harbaugh,Mike McCarthy,,DAL00,AT&T Stadium,0,0,1,2,1,0.21327708439726004,0.78672291560274,0
2024_03_SF_LA,2024,REG,3,2024-09-22,Sunday,16:25,SF,,LA,,Home,,,,2024092211,59552,,202409220ram,,401671772,6493.0,7,7,-345.0,275.0,-7.0,-115.0,-105.0,44.5,-112.0,-108.0,1,dome,matrixturf,,,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,,LAX01,SoFi Stadium,0,0,1,1,1,0.3421685780853925,0.6578314219146075,0
2024_03_KC_ATL,2024,REG,3,2024-09-22,Sunday,20:20,KC,,ATL,,Home,,,,2024092212,59553,,202409220atl,,401671793,6494.0,7,6,-175.0,145.0,-3.5,-105.0,-115.0,46.5,-110.0,-110.0,0,closed,fieldturf,,,00-0033873,00-0029604,Patrick Mahomes,Kirk Cousins,Andy Reid,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0,0,1,2,0,0.13851562684202032,0.8614843731579797,0
2024_03_JAX_BUF,2024,REG,3,2024-09-23,Monday,19:30,JAX,,BUF,,Home,,,,2024092300,59554,,202409230buf,,401671682,6495.0,8,11,190.0,-230.0,5.0,-110.0,-110.0,45.5,-110.0,-110.0,0,outdoors,a_turf,,,00-0036971,00-0034857,Trevor Lawrence,Josh Allen,Doug Pederson,Sean McDermott,,BUF00,New Era Field,0,1,1,1,1,0.5112508529934684,0.4887491470065316,1
2024_03_WAS_CIN,2024,REG,3,2024-09-23,Monday,20:15,WAS,,CIN,,Home,,,,2024092301,59555,,202409230cin,,401671490,6496.0,8,8,280.0,-355.0,7.5,-115.0,-105.0,47.0,-112.0,-108.0,0,outdoors,fieldturf,,,00-0039910,00-0036442,Jayden Daniels,Joe Burrow,Dan Quinn,Zac Taylor,,CIN00,Paycor Stadium,0,0,1,2,1,0.21327708439726004,0.78672291560274,0
