game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,home_team_win_prob,away_team_win_prob,predicted_winner
2024_16_DEN_LAC,2024,REG,16,2024-12-19,Thursday,20:15,DEN,,LAC,,Home,,,,2024122209,59742,,202412220sdg,,401671749,6683.0,7,7,120.0,-142.0,3.0,-118.0,-102.0,41.5,-112.0,-108.0,1,dome,matrixturf,,,00-0039732,00-0036355,Bo Nix,Justin Herbert,Sean Payton,Jim Harbaugh,,LAX01,SoFi Stadium,0,4,5,4,3,0.13000423343950734,0.8699957665604927,0
2024_16_HOU_KC,2024,REG,16,2024-12-21,Saturday,13:00,HOU,,KC,,Home,,,,2024122100,59733,,202412210kan,,401671780,6674.0,6,6,154.0,-185.0,3.5,-110.0,-110.0,42.0,-110.0,-110.0,0,outdoors,grass,,,00-0039163,00-0033873,C.J. Stroud,Patrick Mahomes,DeMeco Ryans,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,0,7,5,1,3,0.8956653631903443,0.10433463680965571,1
2024_16_PIT_BAL,2024,REG,16,2024-12-21,Saturday,16:30,PIT,,BAL,,Home,,,,2024122101,59734,,202412210rav,,401671778,6675.0,6,6,230.0,-285.0,6.0,-105.0,-115.0,45.0,-110.0,-110.0,1,outdoors,grass,,,00-0029263,00-0034796,Russell Wilson,Lamar Jackson,Mike Tomlin,John Harbaugh,,BAL00,M&T Bank Stadium,0,4,6,3,3,0.1158609433733163,0.8841390566266837,0
2024_16_NYG_ATL,2024,REG,16,2024-12-22,Sunday,13:00,NYG,,ATL,,Home,,,,2024122202,59735,,202412220atl,,401671729,6676.0,7,6,330.0,-425.0,8.5,-108.0,-112.0,42.0,-108.0,-112.0,0,closed,fieldturf,,,00-0038476,00-0029604,Tommy DeVito,Kirk Cousins,Brian Daboll,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0,3,3,5,4,0.238132706729862,0.761867293270138,0
2024_16_NE_BUF,2024,REG,16,2024-12-22,Sunday,13:00,NE,,BUF,,Home,,,,2024122203,59736,,202412220buf,,401671494,6677.0,7,7,625.0,-950.0,14.0,-108.0,-112.0,46.5,-112.0,-108.0,1,outdoors,a_turf,,,00-0039851,00-0034857,Drake Maye,Josh Allen,Jerod Mayo,Sean McDermott,,BUF00,New Era Field,0,6,3,1,6,0.9898929036303397,0.01010709636966034,1
2024_16_ARI_CAR,2024,REG,16,2024-12-22,Sunday,13:00,ARI,,CAR,,Home,,,,2024122204,59737,,202412220car,,401671732,6678.0,7,7,-218.0,180.0,-4.5,-112.0,-108.0,47.0,-112.0,-108.0,0,outdoors,grass,,,00-0035228,00-0039150,Kyler Murray,Bryce Young,Jonathan Gannon,Dave Canales,,CAR00,Bank of America Stadium,0,2,3,7,4,0.04050903103580377,0.9594909689641963,0
2024_16_DET_CHI,2024,REG,16,2024-12-22,Sunday,13:00,DET,,CHI,,Home,,,,2024122205,59738,,202412220chi,,401671868,6679.0,7,6,-285.0,230.0,-6.5,-110.0,-110.0,48.0,-110.0,-110.0,1,outdoors,grass,,,00-0033106,00-0039918,Jared Goff,Caleb Williams,Dan Campbell,Matt Eberflus,,CHI98,Soldier Field,0,4,7,4,0,0.006470740179806781,0.9935292598201932,0
2024_16_CLE_CIN,2024,REG,16,2024-12-22,Sunday,13:00,CLE,,CIN,,Home,,,,2024121900,59732,,202412190cin,,401671811,6673.0,4,4,285.0,-360.0,7.5,-108.0,-112.0,47.0,-112.0,-108.0,1,outdoors,fieldturf,,,00-0031503,00-0036442,Jameis Winston,Joe Burrow,Kevin Stefanski,Zac Taylor,,CIN00,Paycor Stadium,0,1,2,6,6,0.20033937367826277,0.7996606263217372,0
2024_16_TEN_IND,2024,REG,16,2024-12-22,Sunday,13:00,TEN,,IND,,Home,,,,2024122206,59739,,202412220clt,,401671862,6680.0,7,7,150.0,-180.0,3.5,-112.0,-108.0,42.5,-110.0,-110.0,1,closed,fieldturf,,,00-0034771,00-0026158,Mason Rudolph,Joe Flacco,Brian Callahan,Shane Steichen,,IND00,Lucas Oil Stadium,0,3,3,4,5,0.5027710532066971,0.4972289467933029,1
2024_16_LA_NYJ,2024,REG,16,2024-12-22,Sunday,13:00,LA,,NYJ,,Home,,,,2024122207,59740,,202412220nyj,,401671621,6681.0,10,7,-175.0,145.0,-3.5,-105.0,-115.0,46.0,-108.0,-112.0,0,outdoors,fieldturf,,,00-0026498,00-0023459,Matthew Stafford,Aaron Rodgers,Sean McVay,Robert Saleh,,NYC01,MetLife Stadium,0,2,5,5,3,0.01889332627731461,0.9811066737226853,0
