game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,home_team_win_prob,away_team_win_prob,predicted_winner
2024_04_DAL_NYG,2024,REG,4,2024-09-26,Thursday,20:15,DAL,,NYG,,Home,,,,2024092600,59556,,202409260nyg,,401671812,6497.0,4,4,-250.0,205.0,-5.5,-115.0,-105.0,45.0,-112.0,-108.0,1,outdoors,fieldturf,,,00-0033077,00-0035710,Dak Prescott,Daniel Jones,Mike McCarthy,Brian Daboll,,NYC01,MetLife Stadium,0,0,2,2,0,0.06845838381511617,0.9315416161848838,0
2024_04_NO_ATL,2024,REG,4,2024-09-29,Sunday,13:00,NO,,ATL,,Home,,,,2024092900,59557,,202409290atl,,401671727,6498.0,7,7,114.0,-135.0,2.5,-110.0,-110.0,42.0,-112.0,-108.0,1,closed,fieldturf,,,00-0031280,00-0029604,Derek Carr,Kirk Cousins,Dennis Allen,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0,0,2,3,0,0.03688905929711866,0.9631109407028814,0
2024_04_CIN_CAR,2024,REG,4,2024-09-29,Sunday,13:00,CIN,,CAR,,Home,,,,2024092901,59558,,202409290car,,401671745,6499.0,6,7,-205.0,170.0,-4.5,-110.0,-110.0,47.0,-108.0,-112.0,0,outdoors,grass,,,00-0036442,00-0027973,Joe Burrow,Andy Dalton,Zac Taylor,Dave Canales,,CAR00,Bank of America Stadium,0,0,1,2,1,0.21327708439726004,0.78672291560274,0
2024_04_LA_CHI,2024,REG,4,2024-09-29,Sunday,13:00,LA,,CHI,,Home,,,,2024092902,59559,,202409290chi,,401671871,6500.0,7,7,124.0,-148.0,3.0,-112.0,-108.0,41.0,-112.0,-108.0,0,outdoors,grass,,,00-0026498,00-0039918,Matthew Stafford,Caleb Williams,Sean McVay,Matt Eberflus,,CHI98,Soldier Field,0,1,1,1,2,0.6381632198109795,0.36183678018902055,1
2024_04_MIN_GB,2024,REG,4,2024-09-29,Sunday,13:00,MIN,,GB,,Home,,,,2024092903,59560,,202409290gnb,,401671643,6501.0,7,7,124.0,-148.0,3.0,-115.0,-105.0,44.0,-112.0,-108.0,1,outdoors,grass,,,00-0034869,00-0038128,Sam Darnold,Malik Willis,Kevin O'Connell,Matt LaFleur,,GNB00,Lambeau Field,0,1,2,1,0,0.22091882691627795,0.779081173083722,0
2024_04_JAX_HOU,2024,REG,4,2024-09-29,Sunday,13:00,JAX,,HOU,,Home,,,,2024092904,59561,,202409290htx,,401671857,6502.0,6,7,220.0,-270.0,6.5,-112.0,-108.0,45.5,-108.0,-112.0,1,closed,astroturf,,,00-0036971,00-0039163,Trevor Lawrence,C.J. Stroud,Doug Pederson,DeMeco Ryans,,HOU00,NRG Stadium,0,1,1,1,2,0.6381632198109795,0.36183678018902055,1
2024_04_PIT_IND,2024,REG,4,2024-09-29,Sunday,13:00,PIT,,IND,,Home,,,,2024092905,59562,,202409290clt,,401671867,6503.0,7,7,-125.0,105.0,-1.5,-112.0,-108.0,40.0,-110.0,-110.0,0,closed,fieldturf,,,00-0029263,00-0039164,Russell Wilson,Anthony Richardson,Mike Tomlin,Shane Steichen,,IND00,Lucas Oil Stadium,0,1,3,2,0,0.06327498261798292,0.9367250173820171,0
2024_04_DEN_NYJ,2024,REG,4,2024-09-29,Sunday,13:00,DEN,,NYJ,,Home,,,,2024092906,59563,,202409290nyj,,401671622,6504.0,7,10,320.0,-410.0,7.5,-112.0,-108.0,39.5,-108.0,-112.0,0,outdoors,fieldturf,,,00-0039732,00-0023459,Bo Nix,Aaron Rodgers,Sean Payton,Robert Saleh,,NYC01,MetLife Stadium,0,1,2,1,1,0.3234569478408285,0.6765430521591715,0
2024_04_PHI_TB,2024,REG,4,2024-09-29,Sunday,13:00,PHI,,TB,,Home,,,,2024092907,59564,,202409290tam,,401671740,6505.0,7,7,-130.0,110.0,-1.5,-112.0,-108.0,43.0,-110.0,-110.0,0,outdoors,grass,,,00-0036389,00-0034855,Jalen Hurts,Baker Mayfield,Nick Sirianni,Todd Bowles,,TAM00,Raymond James Stadium,0,1,2,2,0,0.1287609663189027,0.8712390336810973,0
2024_04_WAS_ARI,2024,REG,4,2024-09-29,Sunday,16:05,WAS,,ARI,,Home,,,,2024092908,59565,,202409290crd,,401671755,6506.0,6,7,142.0,-170.0,3.5,-120.0,100.0,50.0,-108.0,-112.0,0,closed,grass,,,00-0039910,00-0035228,Jayden Daniels,Kyler Murray,Dan Quinn,Jonathan Gannon,,PHO00,State Farm Stadium,0,1,2,2,1,0.1994766013117913,0.8005233986882088,0
2024_04_NE_SF,2024,REG,4,2024-09-29,Sunday,16:05,NE,,SF,,Home,,,,2024092909,59566,,202409290sfo,,401671758,6507.0,10,7,455.0,-625.0,10.5,-110.0,-110.0,40.5,-108.0,-112.0,0,outdoors,grass,,,00-0033119,00-0037834,Jacoby Brissett,Brock Purdy,Jerod Mayo,Kyle Shanahan,,SFO01,Levi's Stadium,0,1,2,1,1,0.3234569478408285,0.6765430521591715,0
2024_04_KC_LAC,2024,REG,4,2024-09-29,Sunday,16:25,KC,,LAC,,Home,,,,2024092910,59567,,202409290sdg,,401671674,6508.0,7,7,-325.0,260.0,-7.0,-118.0,-102.0,40.0,-110.0,-110.0,1,dome,matrixturf,,,00-0033873,00-0036355,Patrick Mahomes,Justin Herbert,Andy Reid,Jim Harbaugh,,LAX01,SoFi Stadium,0,1,2,1,0,0.22091882691627795,0.779081173083722,0
2024_04_CLE_LV,2024,REG,4,2024-09-29,Sunday,16:25,CLE,,LV,,Home,,,,2024092911,59568,,202409290rai,,401671672,6509.0,7,7,105.0,-125.0,1.5,-108.0,-112.0,37.0,-110.0,-110.0,0,dome,grass,,,00-0033537,00-0035289,Deshaun Watson,Gardner Minshew,Kevin Stefanski,Antonio Pierce,,VEG00,Allegiant Stadium,0,0,2,2,0,0.06845838381511617,0.9315416161848838,0
2024_04_BUF_BAL,2024,REG,4,2024-09-29,Sunday,20:20,BUF,,BAL,,Home,,,,2024092912,59569,,202409290rav,,401671783,6510.0,6,7,110.0,-130.0,2.5,-112.0,-108.0,46.5,-108.0,-112.0,0,outdoors,grass,,,00-0034857,00-0034796,Josh Allen,Lamar Jackson,Sean McDermott,John Harbaugh,,BAL00,M&T Bank Stadium,0,0,2,2,0,0.06845838381511617,0.9315416161848838,0
2024_04_TEN_MIA,2024,REG,4,2024-09-30,Monday,19:30,TEN,,MIA,,Home,,,,2024093000,59570,,202409300mia,,401671683,6511.0,8,8,-102.0,-118.0,1.0,-108.0,-112.0,36.5,-108.0,-112.0,0,outdoors,grass,,,00-0039152,00-0037327,Will Levis,Skylar Thompson,Brian Callahan,Mike McDaniel,,MIA00,Hard Rock Stadium,0,1,1,2,1,0.3528288376386638,0.6471711623613362,0
2024_04_SEA_DET,2024,REG,4,2024-09-30,Monday,20:15,SEA,,DET,,Home,,,,2024093001,59571,,202409300det,,401671491,6512.0,8,8,145.0,-175.0,3.5,-110.0,-110.0,46.0,-112.0,-108.0,0,dome,fieldturf,,,00-0030565,00-0033106,Geno Smith,Jared Goff,Mike Macdonald,Dan Campbell,,DET00,Ford Field,0,1,2,2,0,0.1287609663189027,0.8712390336810973,0
