game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,point_difference,rest_difference,moneyline_difference,spread_odds_difference,home_team_win_prob,away_team_win_prob,predicted_winner
2024_16_DEN_LAC,2024,REG,16,2024-12-19,Thursday,20:15,DEN,0.0,LAC,0.0,Home,,,,2024122209,59742,,202412220sdg,,401671749,6683.0,7,7,130.0,-155.0,3.0,-112.0,-108.0,42.5,-112.0,-108.0,1,dome,matrixturf,,,00-0039732,00-0036355,Bo Nix,Justin Herbert,Sean Payton,Jim Harbaugh,,LAX01,SoFi Stadium,0,18.0,40.0,22.0,57.0,0.0,0,-285.0,4.0,0.578815473371006,0.42118452662899397,1
2024_16_HOU_KC,2024,REG,16,2024-12-21,Saturday,13:00,HOU,0.0,KC,0.0,Home,,,,2024122100,59733,,202412210kan,,401671780,6674.0,6,6,-130.0,110.0,-2.5,-108.0,-112.0,40.0,-110.0,-110.0,0,outdoors,grass,,,00-0039163,00-0033873,C.J. Stroud,Patrick Mahomes,DeMeco Ryans,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,0,32.0,41.0,34.0,56.0,0.0,0,240.0,-4.0,0.5218532848099067,0.47814671519009333,1
2024_16_PIT_BAL,2024,REG,16,2024-12-21,Saturday,16:30,PIT,0.0,BAL,0.0,Home,,,,2024122101,59734,,202412210rav,,401671778,6675.0,6,6,230.0,-285.0,6.0,-108.0,-112.0,45.0,-110.0,-110.0,1,outdoors,grass,,,00-0029263,00-0034796,Russell Wilson,Lamar Jackson,Mike Tomlin,John Harbaugh,,BAL00,M&T Bank Stadium,0,73.0,38.0,25.0,59.0,0.0,0,-515.0,-4.0,0.5241603948928374,0.4758396051071626,1
2024_16_NYG_ATL,2024,REG,16,2024-12-22,Sunday,13:00,NYG,0.0,ATL,0.0,Home,,,,2024122202,59735,,202412220atl,,401671729,6676.0,7,6,320.0,-410.0,8.0,-110.0,-110.0,41.0,-110.0,-110.0,0,closed,fieldturf,,,00-0038476,00-0029604,Tommy DeVito,Kirk Cousins,Brian Daboll,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0,64.0,55.0,33.0,42.0,0.0,-1,-730.0,0.0,0.6031419454977609,0.3968580545022391,1
2024_16_NE_BUF,2024,REG,16,2024-12-22,Sunday,13:00,NE,0.0,BUF,0.0,Home,,,,2024122203,59736,,202412220buf,,401671494,6677.0,7,7,600.0,-900.0,14.0,-108.0,-112.0,46.5,-110.0,-110.0,1,outdoors,a_turf,,,00-0039851,00-0034857,Drake Maye,Josh Allen,Jerod Mayo,Sean McDermott,,BUF00,New Era Field,0,45.0,32.0,52.0,65.0,0.0,0,-1500.0,-4.0,0.5184609217256001,0.4815390782743999,1
2024_16_ARI_CAR,2024,REG,16,2024-12-22,Sunday,13:00,ARI,0.0,CAR,0.0,Home,,,,2024122204,59737,,202412220car,,401671732,6678.0,7,7,-198.0,164.0,-4.0,-108.0,-112.0,47.0,-112.0,-108.0,0,outdoors,grass,,,00-0035228,00-0039150,Kyler Murray,Bryce Young,Jonathan Gannon,Dave Canales,,CAR00,Bank of America Stadium,0,65.0,56.0,32.0,42.0,0.0,0,362.0,-4.0,0.5495453549412744,0.45045464505872557,1
2024_16_DET_CHI,2024,REG,16,2024-12-22,Sunday,13:00,DET,0.0,CHI,0.0,Home,,,,2024122205,59738,,202412220chi,,401671868,6679.0,7,6,-325.0,0.0,-7.0,-110.0,-110.0,45.5,-110.0,-110.0,1,outdoors,grass,,,00-0033106,00-0039918,Jared Goff,Caleb Williams,Dan Campbell,Matt Eberflus,,CHI98,Soldier Field,0,49.0,46.0,49.0,51.0,0.0,-1,325.0,0.0,0.5027435236529635,0.4972564763470365,1
2024_16_CLE_CIN,2024,REG,16,2024-12-22,Sunday,13:00,CLE,0.0,CIN,0.0,Home,,,,2024121900,59732,,202412190cin,,401671811,6673.0,4,4,260.0,-325.0,7.0,-110.0,-110.0,48.0,-112.0,-108.0,1,outdoors,fieldturf,,,00-0031503,00-0036442,Jameis Winston,Joe Burrow,Kevin Stefanski,Zac Taylor,,CIN00,Paycor Stadium,0,42.0,43.0,55.0,52.0,0.0,0,-585.0,0.0,0.5190881169832112,0.4809118830167888,1
2024_16_TEN_IND,2024,REG,16,2024-12-22,Sunday,13:00,TEN,0.0,IND,0.0,Home,,,,2024122206,59739,,202412220clt,,401671862,6680.0,7,7,170.0,-205.0,4.5,-110.0,-110.0,42.5,-110.0,-110.0,1,closed,fieldturf,,,00-0034771,00-0026158,Mason Rudolph,Joe Flacco,Brian Callahan,Shane Steichen,,IND00,Lucas Oil Stadium,0,54.0,24.0,40.0,73.0,0.0,0,-375.0,0.0,0.45058052471385057,0.5494194752861494,0
2024_16_LA_NYJ,2024,REG,16,2024-12-22,Sunday,13:00,LA,0.0,NYJ,0.0,Home,,,,2024122207,59740,,202412220nyj,,401671621,6681.0,10,7,-180.0,150.0,-3.5,-108.0,-112.0,46.5,-110.0,-110.0,0,outdoors,fieldturf,,,00-0026498,00-0023459,Matthew Stafford,Aaron Rodgers,Sean McVay,Robert Saleh,,NYC01,MetLife Stadium,0,53.0,41.0,44.0,56.0,0.0,-3,330.0,-4.0,0.5055168078657435,0.4944831921342565,1
