game_id,season,week,team,off_epa,off_success_rate,pass_attempt,rush_attempt,def_epa,def_success_rate
2013_01_ARI_STL,2013,1,ARI,0.0015671135807103775,0.45454545454545453,44.0,26.0,0.011989737750333853,0.47058823529411764
2013_01_ARI_STL,2013,1,LA,0.011989737750333853,0.47058823529411764,38.0,25.0,0.0015671135807103775,0.45454545454545453
2013_01_ATL_NO,2013,1,ATL,-0.021305788932515446,0.4084507042253521,41.0,14.0,0.03636324016218861,0.40963855421686746
2013_01_ATL_NO,2013,1,NO,0.03636324016218861,0.40963855421686746,37.0,29.0,-0.021305788932515446,0.4084507042253521
2013_01_BAL_DEN,2013,1,BAL,0.02273782731771624,0.3706896551724138,66.0,21.0,0.24151430666253448,0.48936170212765956
2013_01_BAL_DEN,2013,1,DEN,0.24151430666253448,0.48936170212765956,45.0,23.0,0.02273782731771624,0.3706896551724138
2013_01_CIN_CHI,2013,1,CHI,0.054208875874772355,0.4625,33.0,28.0,0.049123656296298,0.4507042253521127
2013_01_CIN_CHI,2013,1,CIN,0.049123656296298,0.4507042253521127,34.0,21.0,0.054208875874772355,0.4625
2013_01_GB_SF,2013,1,GB,0.10078782363437991,0.4875,39.0,19.0,0.13178710413550185,0.46534653465346537
2013_01_GB_SF,2013,1,SF,0.13178710413550185,0.46534653465346537,41.0,34.0,0.10078782363437991,0.4875
2013_01_HOU_SD,2013,1,HOU,0.10005328898244711,0.4948453608247423,47.0,28.0,0.05245597077177537,0.4225352112676056
2013_01_HOU_SD,2013,1,LAC,0.05245597077177537,0.4225352112676056,31.0,20.0,0.10005328898244711,0.4948453608247423
2013_01_KC_JAX,2013,1,JAX,-0.36861218658716255,0.30434782608695654,47.0,23.0,-0.056324324018122596,0.4146341463414634
2013_01_KC_JAX,2013,1,KC,-0.056324324018122596,0.4146341463414634,35.0,27.0,-0.36861218658716255,0.30434782608695654
2013_01_MIA_CLE,2013,1,CLE,-0.13613010461202416,0.375,59.0,13.0,0.050726116722660856,0.4
2013_01_MIA_CLE,2013,1,MIA,0.050726116722660856,0.4,42.0,23.0,-0.13613010461202416,0.375
2013_01_MIN_DET,2013,1,DET,0.020136689826832692,0.45544554455445546,43.0,34.0,-0.07716234829248851,0.4246575342465753
2013_01_MIN_DET,2013,1,MIN,-0.07716234829248851,0.4246575342465753,31.0,22.0,0.020136689826832692,0.45544554455445546
2013_01_NE_BUF,2013,1,BUF,-0.13372808089325788,0.39285714285714285,27.0,34.0,-0.0670387115142269,0.4424778761061947
2013_01_NE_BUF,2013,1,NE,-0.0670387115142269,0.4424778761061947,55.0,34.0,-0.13372808089325788,0.39285714285714285
2013_01_NYG_DAL,2013,1,DAL,-0.0425248005386014,0.41414141414141414,52.0,23.0,-0.10718779649653985,0.4805194805194805
2013_01_NYG_DAL,2013,1,NYG,-0.10718779649653985,0.4805194805194805,45.0,14.0,-0.0425248005386014,0.41414141414141414
2013_01_OAK_IND,2013,1,IND,0.13852054053376317,0.43283582089552236,27.0,26.0,0.08693864023472586,0.4430379746835443
2013_01_OAK_IND,2013,1,LV,0.08693864023472586,0.4430379746835443,30.0,33.0,0.13852054053376317,0.43283582089552236
2013_01_PHI_WAS,2013,1,PHI,0.0021869992518290847,0.47058823529411764,28.0,49.0,-0.10331031840812482,0.45652173913043476
2013_01_PHI_WAS,2013,1,WAS,-0.10331031840812482,0.45652173913043476,53.0,18.0,0.0021869992518290847,0.47058823529411764
2013_01_SEA_CAR,2013,1,CAR,-0.0005874829429792922,0.4375,24.0,26.0,0.09894242781350389,0.48
2013_01_SEA_CAR,2013,1,SEA,0.09894242781350389,0.48,36.0,26.0,-0.0005874829429792922,0.4375
2013_01_TB_NYJ,2013,1,NYJ,-0.05541434968314734,0.4,44.0,29.0,-0.04586840491722843,0.34146341463414637
2013_01_TB_NYJ,2013,1,TB,-0.04586840491722843,0.34146341463414637,34.0,25.0,-0.05541434968314734,0.4
2013_01_TEN_PIT,2013,1,PIT,-0.1803552657521533,0.43283582089552236,38.0,15.0,-0.018254778087718186,0.4567901234567901
2013_01_TEN_PIT,2013,1,TEN,-0.018254778087718186,0.4567901234567901,21.0,42.0,-0.1803552657521533,0.43283582089552236
2013_02_CAR_BUF,2013,2,BUF,0.06263526038039402,0.4835164835164835,41.0,33.0,0.06776427271171256,0.45544554455445546
2013_02_CAR_BUF,2013,2,CAR,0.06776427271171256,0.45544554455445546,44.0,32.0,0.06263526038039402,0.4835164835164835
2013_02_CLE_BAL,2013,2,BAL,-0.08906406483684967,0.4117647058823529,35.0,36.0,-0.17956765567421062,0.3333333333333333
2013_02_CLE_BAL,2013,2,CLE,-0.17956765567421062,0.3333333333333333,42.0,20.0,-0.08906406483684967,0.4117647058823529
2013_02_DAL_KC,2013,2,DAL,-0.010310360971309059,0.43037974683544306,45.0,16.0,-0.029199254913557224,0.3626373626373626
2013_02_DAL_KC,2013,2,KC,-0.029199254913557224,0.3626373626373626,40.0,25.0,-0.010310360971309059,0.43037974683544306
2013_02_DEN_NYG,2013,2,DEN,0.15932815790836347,0.45263157894736844,43.0,29.0,-0.06935471117164564,0.47959183673469385
2013_02_DEN_NYG,2013,2,NYG,-0.06935471117164564,0.47959183673469385,50.0,19.0,0.15932815790836347,0.45263157894736844
2013_02_DET_ARI,2013,2,ARI,-0.04746060896605649,0.3888888888888889,42.0,25.0,-0.10063249423763174,0.4430379746835443
2013_02_DET_ARI,2013,2,DET,-0.10063249423763174,0.4430379746835443,37.0,20.0,-0.04746060896605649,0.3888888888888889
